"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"385","brown","GO:0198738","cell-cell signaling by wnt","19/247","500/17913",6.89169198922419e-05,0.00243345644139506,0.00183028830408554,"857/1363/1601/85458/10979/2308/8322/54331/2869/3489/4286/5311/8613/166336/27303/8434/9037/64321/83595",19
"388","brown","GO:0002576","platelet degranulation","9/247","128/17913",7.14124973220753e-05,0.00244813134023542,0.00184132581240262,"948/1675/2162/3479/5175/5627/6414/6403/7450",9
"392","brown","GO:0015850","organic hydroxy compound transport","12/247","228/17913",8.03931213087182e-05,0.0026529730031877,0.00199539444232067,"9370/150/185/358/857/948/1066/6387/3952/5468/5950/9194",12
"395","brown","GO:0043270","positive regulation of ion transport","13/247","266/17913",8.66213286574364e-05,0.00278054464990371,0.00209134557131782,"150/154/287/187/552/781/857/6387/2273/3952/5311/10268/6330",13
"401","brown","GO:0070482","response to oxygen levels","16/247","389/17913",0.000105256697264672,0.00320397756932376,0.0024098243847438,"9370/81575/358/857/947/6387/114757/2034/2308/3952/1902/5468/5740/7010/7048/7049",16
"414","brown","GO:0048846","axon extension involved in axon guidance","4/247","20/17913",0.000143665426274087,0.003890741122244,0.00292636344301498,"6387/8829/9037/9353",4
"415","brown","GO:1902284","neuron projection extension involved in neuron projection guidance","4/247","20/17913",0.000143665426274087,0.003890741122244,0.00292636344301498,"6387/8829/9037/9353",4
"418","brown","GO:1904019","epithelial cell apoptotic process","8/247","111/17913",0.000151793526854692,0.00401784029784944,0.00302195920984785,"57124/641700/2934/3791/9037/7010/7048/7538",8
"452","brown","GO:0110020","regulation of actomyosin structure organization","7/247","94/17913",0.000321560262512647,0.00679897776606081,0.00511375066069592,"395/10395/1902/4208/8829/90102/1901",7
"456","brown","GO:0110053","regulation of actin filament organization","11/247","228/17913",0.000337114048957764,0.00696110939689979,0.00523569557107072,"395/6387/10395/2934/25802/1902/8829/90102/1901/9037/9353",11
"458","brown","GO:0097746","regulation of blood vessel diameter","8/247","125/17913",0.000342882970790046,0.00699838017259915,0.00526372823427616,"150/185/857/1910/3357/3672/3952/5797",8
"475","green","GO:0009615","response to virus","26/40","323/17913",3.04374269225925e-36,2.1062699430434e-33,1.58595013965087e-33,"3627/55601/2633/51191/3429/10561/10964/2537/64135/3434/3433/3437/24138/8519/3665/9636/4599/4938/4939/4940/8638/83666/5359/91543/64108/6772",26
"476","green","GO:0060337","type I interferon signaling pathway","18/40","91/17913",8.8077295091393e-32,1.55470727048721e-29,1.17064207315359e-29,"3429/3430/2537/3434/3433/3437/8519/3665/9636/4599/4938/4939/4940/8638/91543/6772/11274/54739",18
"477","green","GO:0071357","cellular response to type I interferon","18/40","91/17913",8.8077295091393e-32,1.55470727048721e-29,1.17064207315359e-29,"3429/3430/2537/3434/3433/3437/8519/3665/9636/4599/4938/4939/4940/8638/91543/6772/11274/54739",18
"481","green","GO:0045071","negative regulation of viral genome replication","10/40","59/17913",5.28537946295551e-17,5.22497512623601e-15,3.93422982580898e-15,"3434/24138/8519/9636/4599/4938/4940/8638/5359/91543",10
"496","green","GO:0032479","regulation of type I interferon production","6/40","123/17913",2.93988925984819e-07,9.24728803552249e-06,6.96289561542992e-06,"51191/64135/3665/9636/6772/9246",6
"514","green","GO:0006471","protein ADP-ribosylation","3/40","30/17913",4.0163686451674e-05,0.000694831775613961,0.000523184862988912,"64761/54625/83666",3
"518","green","GO:0002483","antigen processing and presentation of endogenous peptide antigen","2/40","11/17913",0.000264025314138734,0.00406012260853343,0.00305713521634324,"6890/6891",2
"521","green","GO:0002697","regulation of immune effector process","6/40","441/17913",0.000406205362829535,0.00598072576761784,0.00450328453752788,"55601/51191/3434/83666/91543/6772",6
"522","green","GO:0006906","vesicle fusion","3/40","66/17913",0.000428168931369497,0.00614317211590004,0.00462560115206955,"54809/6890/6891",3
"527","green","GO:0071360","cellular response to exogenous dsRNA","2/40","17/17913",0.000647350274454534,0.0084521960362743,0.00636421818977149,"64135/3434",2
"528","grey","GO:0001655","urogenital system development","132/3352","324/17913",1.47073949293444e-20,9.02886974712452e-17,6.61987586503964e-17,"38/59/9510/183/54806/231/284/285/367/84159/445/7917/10409/596/650/652/56913/760/847/100133941/1027/1028/80184/8837/1282/1396/56603/9420/8642/9231/28514/55840/1948/1958/2018/2043/2049/2099/2246/2247/2260/2263/2288/3169/2296/2303/2297/80144/10818/2624/2625/2650/2737/26585/3037/3217/3248/3398/3399/3400/3570/79192/153572/79191/3655/3691/182/55083/3913/55366/4038/120892/9863/4311/4318/4357/9788/4609/4774/4824/4854/27031/255743/23279/9688/4953/130497/116039/5017/5087/5154/51196/5420/5471/5613/8842/79810/5727/5800/157506/9104/50484/6382/6385/5268/6422/6495/10736/51804/4086/4090/6664/30812/6662/6715/23213/55959/4070/7020/7021/7042/7046/25976/3371/26146/57216/7422/7481/7474/7490/25937/10413",132
"542","grey","GO:0050673","epithelial cell proliferation","135/3352","425/17913",4.72735950343393e-11,1.93475066610539e-08,1.41853959555674e-08,"10000/283/367/374/538/650/652/659/8573/4856/595/135228/1001/1021/1027/1028/1030/634/1051/8837/1296/1535/9420/1749/11221/55840/1893/1948/1956/1960/26298/83481/2064/54206/2099/2152/2173/55612/2246/2247/2254/2260/2263/154791/10818/8324/2624/2625/2697/2876/2896/3037/3162/3202/3249/3397/3398/80173/3486/3487/3488/3664/9270/3725/10765/3815/687/3912/55366/4017/116844/91862/4163/4192/4321/9788/4609/4781/4824/4830/64127/7026/26471/130497/116039/58495/64081/10016/5828/5241/5578/5591/5613/5727/5764/5796/5813/5925/28984/9104/6091/6195/864/60485/949/195814/1992/5268/2810/6422/130367/6495/51804/6591/6664/6662/6776/23213/55959/4070/6899/7039/7042/7046/7057/7291/79805/7422/7472/7474/7494/7498/10413/51157/80139",135
"548","grey","GO:0030198","extracellular matrix organization","109/3352","334/17913",6.19611589625163e-10,1.81133121367089e-07,1.32804970287579e-07,"2/8728/9508/56999/84830/183/323/538/3491/1490/999/8837/1300/1301/1307/80781/1280/1282/1284/1287/1296/1299/55790/1471/1515/1545/1803/25975/1999/2006/30001/56605/2199/10516/2201/55612/2247/2335/2296/2303/2295/6624/2621/2824/26585/3037/3038/3249/3383/3569/3673/3655/3680/3691/3693/3696/64147/5650/3909/3912/3913/3914/3918/4017/4148/4241/4237/4312/4320/4321/4322/4324/4325/4314/4316/4318/196264/4629/4851/255743/169611/10609/5033/5154/8985/10549/5806/7837/5768/5925/28984/222663/5268/285590/6662/6692/10653/6696/23213/55959/7042/7046/7057/79875/7076/55151/3371/4982/7490",109
"551","grey","GO:0007264","small GTPase mediated signal transduction","140/3352","465/17913",1.25580597258665e-09,3.21224702737893e-07,2.3551869906932e-07,"2/10152/9289/10564/57221/23647/93663/57584/58504/79822/9411/9743/2909/394/396/397/9639/9181/26084/50650/389337/50649/55701/9459/408/26053/8412/604/613/23607/998/56882/1026/1029/50937/9620/84952/1121/1122/1123/1124/8727/9909/91614/1718/1785/23268/9732/80005/85440/23348/2059/54869/64787/2149/2150/10144/51306/10160/2203/26269/2245/121512/55785/2247/84253/51495/57531/3162/8660/3707/3717/3725/23189/4254/8844/4067/9448/10982/23263/4233/22808/10276/4851/51196/5337/57480/10769/157285/57580/23362/23682/253959/57186/9649/55103/5909/23108/5911/11069/51735/5922/221002/10125/25780/54922/11186/5925/5962/5649/85004/388/9886/391/399/23433/58480/54453/6016/6091/9475/6236/6237/22800/6242/286205/6478/57568/221178/117178/50861/7042/7074/26230/7157/10155/7249/57216/10451/8936",140
"556","grey","GO:0006732","coenzyme metabolic process","114/3352","366/17913",5.32613149772732e-09,1.12748694015683e-06,8.26662006689002e-07,"38/122970/11332/2180/2181/2182/51703/160428/262/686/863/874/84869/54677/1528/51181/54541/8694/84649/3692/54898/60481/79071/79993/2023/2026/957/84188/55711/2194/2203/2327/2348/221937/2539/2643/23171/2820/10243/2821/119391/9200/9759/3099/3156/3417/3418/3643/8564/8942/56922/64087/4199/4200/55034/441024/10135/93100/55739/128240/349565/4907/83594/283927/23279/9818/9688/4928/26471/53354/79646/5091/84105/5095/5163/5165/54704/57107/8566/10400/5208/5209/5214/5226/283209/5315/4860/5465/10891/5563/195827/5743/23475/8480/55328/6319/79966/81929/6573/6576/81034/6513/6515/113235/8884/8803/8801/57103/7086/7157/9540/7167/7175/26137",114
"563","grey","GO:0110110","positive regulation of animal organ morphogenesis","37/3352","80/17913",1.68037956135443e-08,2.8410272053555e-06,2.08301237645427e-06,"90/183/367/10409/650/652/8837/22943/1906/2246/2260/2263/10818/2625/26585/3217/3249/182/55366/4192/4609/4851/5764/6091/10512/6495/51804/30812/6662/7020/7042/7046/7291/7422/7472/7490/7494",37
"564","grey","GO:1901652","response to peptide","142/3352","491/17913",1.71229852741739e-08,2.8410272053555e-06,2.08301237645427e-06,"108/113/115/133/183/231/55198/353/374/9181/445/490/537/23545/50617/533/155066/526/528/245973/55971/7832/760/790/847/1490/1019/1020/1027/634/8837/132864/1535/1537/1663/1759/1906/1958/1959/1978/3692/5167/2043/2058/54206/51024/2303/2534/2549/51083/2650/9518/2690/2697/2706/80318/2770/2771/2806/2888/2950/9734/3087/3383/3397/3480/3488/55765/3625/3643/3667/8660/182/3717/3727/23189/11143/8462/9314/688/23641/4023/4040/4067/4131/4193/57707/4321/4322/4314/4318/4644/10135/4690/4792/64127/4929/114882/5021/5245/5290/5350/5447/5465/5471/5567/5577/5580/5584/5590/5591/5618/5743/5791/5860/11031/23433/8767/9475/6198/143686/84275/6513/30837/10580/6715/6720/6776/8614/9882/10312/7031/7076/7097/8743/7157/57761/10626/7249/7351/7431/7494",142
"567","grey","GO:0001667","ameboidal-type cell migration","131/3352","446/17913",2.24191917932666e-08,3.36126394924436e-06,2.46444468874047e-06,"90/8754/56999/84830/183/10000/154810/284/285/301/306/55198/397/84159/411/652/659/90355/811/23473/29775/4856/634/201161/10519/23603/1545/55466/80005/1803/11221/1906/1942/1948/1960/2013/54566/57669/83481/2066/51466/55612/2246/2247/2260/2335/2348/2303/27086/2624/2625/10755/152007/2821/2876/26585/2896/3037/9734/3162/3315/3397/3673/9270/3725/3728/23189/3815/4254/9314/3868/3964/4017/9448/10982/91862/4163/4233/4318/340719/4851/7026/4902/58495/5025/5063/22976/64081/10016/5216/5217/5290/8503/5585/10769/5371/5578/5613/5743/5764/11156/5793/57111/28984/388/6091/9475/6273/6286/23328/949/6385/10512/6405/64750/30812/6662/6672/6776/6781/4070/6899/7042/7046/7057/7076/7291/7422/7481/7474/51157",131
"572","grey","GO:0072522","purine-containing compound biosynthetic process","93/3352","291/17913",3.45860454420492e-08,4.71830517708311e-06,3.45941357450766e-06,"38/11332/2180/2181/2182/51703/100/108/113/115/136/159/122622/203/204/205/26289/262/353/513/517/134145/863/84869/1633/54541/3692/54898/60481/79071/79993/2023/2026/957/2194/2203/221937/2766/51292/2821/2982/2983/2987/9200/9759/3099/3643/4507/441024/4830/4832/4833/8382/4907/23279/9818/9688/4928/26471/10606/53354/79646/9061/9060/5163/5165/54704/5208/5209/5214/283209/5315/4860/5465/10891/5471/5563/56952/195827/8480/6319/79966/81929/6576/10165/1836/30968/57103/7157/7167/7175/790955/26137",93
"582","grey","GO:0097164","ammonium ion metabolic process","67/3352","193/17913",9.00543070007034e-08,9.87275541874682e-06,7.23860429361226e-06,"18/171586/34/55331/2181/79814/231/1645/1646/8644/501/262/427/538/8424/590/84869/1040/55349/1119/56994/1201/1374/54677/123099/2171/2643/3949/54947/23175/4129/154141/129642/4929/4953/10400/81579/5321/8605/57110/54979/11145/5920/79887/5447/5580/23682/949/259230/166929/130367/6583/23446/57153/126969/80736/54498/6610/6611/9627/8877/10558/55304/6715/6723/10809/7042",67
"587","grey","GO:0070482","response to oxygen levels","115/3352","389/17913",1.10157559344752e-07,1.12021472180598e-05,8.21330089838459e-06,"18/10449/81/100/133/191/84962/283/285/51129/360/9915/430/472/481/537/23545/538/596/650/664/665/784/847/863/1490/100133941/1019/1026/1027/8837/10370/1365/132864/80315/1410/1471/7852/1535/23576/54541/1803/1906/1909/112399/1958/1978/6923/2023/30001/355/51024/139341/2627/3066/29923/28996/3099/3162/3383/3654/3673/3708/3709/3751/3778/4000/4017/378938/4151/4193/4194/4602/4609/10135/10397/4824/4851/4929/5021/5066/5163/5165/9124/5315/5327/5351/5352/5366/5371/5465/10891/5699/5696/5718/5720/5743/5764/28984/9475/6095/6261/6285/6422/6513/6781/8614/7042/7057/57103/7097/7157/7291/7351/7422",115
"594","grey","GO:0009636","response to toxic substance","140/3352","499/17913",1.60780301155627e-07,1.47317950566328e-05,1.08012029495909e-05,"65985/18/9429/100/8754/113/10974/196/374/445/538/558/596/664/841/847/595/999/1019/1026/1119/9076/1365/1366/1410/1471/1545/1663/1785/53905/1906/1958/1978/1981/2052/2053/2059/10516/2263/51024/2281/2534/2539/2625/2643/2806/2876/2879/2882/2936/373156/2946/2947/119391/2950/2952/3066/9734/3156/3162/3248/27429/3383/3569/55364/3709/3725/3775/3778/10765/23095/9314/3934/120892/4067/4129/4131/4217/5603/64757/54996/4151/4155/4193/4233/4257/4258/4357/4487/4602/10276/23530/1728/4929/4924/26471/5019/5021/5074/10400/5245/5446/5465/10891/10105/84152/55607/7001/10549/25824/5580/84293/127281/195827/5743/7837/9104/6001/5997/5999/388/6279/6280/6382/51714/27244/80854/140885/11254/23657/23428/6648/8877/6715/51765/7097/3371/94241/64854/51157",140
"595","grey","GO:0150063","visual system development","104/3352","346/17913",1.8115861277553e-07,1.6354892997485e-05,1.19912419230366e-05,"10152/86/23287/54806/220/2909/84100/22926/490/585/55212/8412/596/652/658/659/113246/1019/1027/1028/50937/80184/55636/1282/1296/1410/1471/1545/28514/1956/2195/2201/2254/24147/2296/2303/2295/10818/7855/2625/2697/2737/2820/57822/3066/28996/3624/10265/182/3725/10765/9314/3913/3985/4124/4211/4212/10461/4237/130916/9172/4693/10763/4814/4915/116039/5204/5584/8842/5764/157506/6297/9997/221935/285590/357/147912/6498/23657/84189/6597/6604/6664/30812/6662/10312/167153/7020/7021/7042/7046/7068/79583/26146/23554/7289/7291/7422/7431/57728/7472/7474/81029/7490",104
"602","grey","GO:0006631","fatty acid metabolic process","102/3352","339/17913",2.24454418042021e-07,1.81889816215786e-05,1.33359771287747e-05,"65985/5825/10449/34/36/122970/11332/8309/8310/2180/2181/2182/51703/84830/51390/1646/8644/224/7915/84266/55198/672/84869/634/1374/1376/54677/51084/1545/1573/285440/84649/10455/1906/3692/54898/60481/79071/79993/2053/11160/2108/2109/79152/158584/2171/2194/219970/2876/2879/2946/2950/51495/401494/3248/3638/3667/8660/3712/23175/4023/10434/4282/6307/4644/27163/7376/390916/283927/5066/5095/5163/5165/54704/8864/5828/5191/5264/5321/8605/80339/5446/5447/5465/10891/5563/5577/127281/5730/9536/22949/5743/9104/6319/79966/11001/11000/28965/6720/57761/7291/7494",102
"623","grey","GO:0010810","regulation of cell-substrate adhesion","67/3352","201/17913",5.03147750248583e-07,3.21752504039172e-05,2.3590567763848e-05,"81/10551/285/55435/347/596/604/811/55604/8573/3491/998/1021/1029/4680/10519/1307/23603/6376/1785/80005/1946/25975/2013/57669/2042/11170/55612/2316/2335/8324/2651/2824/26585/3037/3204/3655/9270/182/3717/3728/23189/3956/22998/9448/4192/4241/4321/4739/4814/4851/255743/10562/57580/5590/5764/5795/5800/9475/6251/6281/6385/6422/9748/4070/7057/7422",67
"631","grey","GO:0042326","negative regulation of phosphorylation","127/3352","455/17913",8.07047208295397e-07,4.763906549736e-05,3.49284803914081e-05,"104/84962/84335/284/408/467/623/624/652/203228/55450/863/135228/1026/1027/1028/1029/1030/1031/634/1050/26973/10519/154043/23603/285464/1540/54541/64798/22943/1756/29103/11221/80824/1846/1942/1981/5167/54206/2150/2203/11116/1647/4616/23171/9052/26585/2950/9759/3087/3156/3315/3480/3486/55364/3624/8660/9270/3725/55243/9314/9113/753/55885/4040/120892/4067/91862/90007/9961/4609/4690/57447/116496/23530/7026/26471/152559/56288/64081/5245/5569/5585/56937/5465/10891/10105/84152/5518/5577/5580/5590/5591/5783/5795/29108/54922/9770/5925/9104/5997/5999/399/27330/57556/2810/6422/140885/9368/64754/9021/122809/6653/200734/10253/81848/11329/57103/26146/28951/57761/7249/7291/7345/25937/7498/84327",127
"671","grey","GO:0031667","response to nutrient levels","127/3352","466/17913",3.09266971459869e-06,0.000131846523457787,9.66685358159648e-05,"65985/38/2180/2181/2182/100/133/122622/178/191/8644/55198/360/411/445/467/490/585/590/53335/596/659/144577/784/790/93664/847/595/1026/1030/80315/1471/1515/1535/56603/1594/29103/1824/1956/10919/1978/1981/11170/355/51024/2281/2348/221937/2534/2539/2621/54332/9518/2771/2950/3156/3157/3162/3383/3485/3600/55364/3625/3673/3725/57535/8942/3920/3934/3949/9388/4023/84918/120892/4131/4217/4193/57707/4316/10135/23530/64127/1728/4925/5019/5025/10400/5315/5366/5447/5465/10891/8493/5563/5723/5743/5764/6198/10325/58528/81929/27244/143686/6422/84251/6566/6513/55630/6591/6652/6696/6715/6720/6781/8614/51765/65084/3371/4982/8658/7157/7706/706/7351/7378/7481/7494",127
"697","grey","GO:1905276","regulation of epithelial tube formation","11/3352","15/17913",6.27551095636997e-06,0.000226619775065619,0.000166155324145127,"9620/8321/2535/2625/57822/27031/6422/6495/51804/57216/7474",11
"720","grey","GO:0043087","regulation of GTPase activity","112/3352","410/17913",1.03492296069864e-05,0.00032539049368777,0.000238573014807641,"23527/116983/4301/116987/84962/26286/93663/57584/58504/79822/9411/9743/2909/394/396/397/9639/9459/408/585/604/613/663/56882/1121/1122/1123/1124/23603/132864/163486/9732/85440/23348/1946/2042/2043/2049/2064/54206/2149/2150/10144/51306/2245/121512/55785/84253/57822/51495/3383/10788/3655/9270/3725/120892/9448/10982/4739/10276/4915/23236/23654/57580/150696/5799/29108/9135/253959/57186/5902/5909/23108/51735/5922/9462/10125/25780/54922/5962/9104/5996/6001/6004/5997/5999/391/399/54453/6102/6251/6242/6281/81846/23513/10484/6422/23677/57568/23161/10253/50861/26000/57465/23329/7074/26230/7249/9712/10451/7481/7474",112
"731","grey","GO:1905330","regulation of morphogenesis of an epithelium","58/3352","181/17913",1.12332029999393e-05,0.000335679714239942,0.000246116967119622,"183/54806/22881/367/652/998/9620/1952/23002/22943/2099/2119/2246/2260/2263/27086/8321/2535/7976/7855/8323/8324/2625/2239/26585/57822/3217/55366/9863/4192/27031/59277/5154/5216/144165/5699/5696/5718/5720/4919/84870/6422/6495/10736/51804/64750/6591/30812/6662/23213/4070/7074/57216/7422/7481/7472/7474/84133",58
"745","grey","GO:0072337","modified amino acid transport","13/3352","21/17913",1.51346871629902e-05,0.00042620112153026,0.000312486346252757,"2348/4036/5174/6573/10560/6509/6583/6584/81034/113235/6535/23657/9368",13
"777","grey","GO:0042119","neutrophil activation","130/3352","499/17913",2.63042566713243e-05,0.000643353911176335,0.000471700572558536,"178/290/306/8907/353/411/427/23250/23200/10396/613/684/51806/55832/124583/847/1604/965/966/8621/634/4680/80184/1116/1118/23601/23406/8904/8895/84766/1471/1476/5476/1509/1522/2919/3576/1535/8694/29952/1832/22875/2150/2171/2444/2495/25801/11010/2821/53831/2896/2950/23593/3310/3417/3482/3600/3606/10788/3728/3920/3934/116844/4057/4125/25840/4257/4282/9761/4311/4318/9961/93100/4758/387921/10562/4973/11240/8566/5315/5317/5329/5337/4860/5547/10549/57580/5580/5718/5795/5799/5806/29108/5834/5836/25797/5768/5873/11031/9545/5869/51209/391/8635/6282/6279/6280/6286/5265/12/1992/5269/140885/11001/6515/6518/57153/6590/2040/258010/6850/9145/10312/7097/11322/7130/58485/203068/10383/8673",130
"778","grey","GO:0050878","regulation of body fluid levels","130/3352","499/17913",2.63042566713243e-05,0.000643353911176335,0.000471700572558536,"2/18/100/108/113/115/133/84830/10551/8165/231/353/360/408/538/540/685/790/830/55604/23468/595/966/928/998/634/1131/9076/1364/1314/1465/1535/56603/160851/23348/1906/2013/22875/2066/2161/2149/2150/2151/2152/2153/2157/79152/2316/2534/8323/2621/2624/2625/2627/2677/2697/2702/2769/2771/2806/2821/29841/57822/3037/3066/8353/3099/10362/3315/3569/3673/3708/3709/3710/3717/3783/3868/4067/23764/10461/4233/4645/4830/4883/5021/5025/5066/9060/5154/57107/5290/5327/5329/5336/5471/5547/7001/5567/5577/5578/5580/5618/5800/5873/5889/6337/5265/5104/5270/710/2810/6583/23657/6776/27347/6812/6850/54843/7021/7980/7057/84283/7103/7357/8673/10451/7422/79001/7494/7498",130
"789","grey","GO:1905314","semi-lunar valve development","18/3352","37/17913",3.4431768346498e-05,0.00080678101480592,0.000591523669946265,"652/659/1942/2006/2625/2702/23462/23493/182/4772/4851/5925/6091/9475/6591/6662/7042/7291",18
"816","grey","GO:1903034","regulation of response to wounding","54/3352","173/17913",4.9843272315363e-05,0.0010587814835433,0.000776287861666335,"18/84830/301/538/8573/8840/135228/928/1026/1027/634/29956/7852/53905/11221/1906/22875/2043/83481/2161/2149/2150/2152/2247/2281/2303/2697/2896/3156/23189/9314/83999/9860/4067/4192/4638/5154/5327/5329/7001/5578/5580/5764/5792/56963/146760/5270/710/6696/6850/7057/7103/79001/7494",54
"835","grey","GO:0044706","multi-multicellular organism process","66/3352","225/17913",6.83337452010776e-05,0.00136201578503057,0.000998616180723882,"2182/113/133/183/231/285/367/397/596/659/790/811/1364/1307/1471/1515/1594/1829/1906/2013/1833/2099/2288/2697/2706/2806/3248/3485/3488/3673/23641/3965/4012/23764/10916/4316/4318/10135/7026/203447/5021/5066/5241/8605/5471/5618/5737/5743/5744/5764/5997/6019/5270/285590/6513/64750/6696/6781/8614/56977/412/29842/7076/10155/7351/81671",66
"848","grey","GO:0106106","cold-induced thermogenesis","46/3352","143/17913",7.82044810395463e-05,0.00149095928642453,0.00109315625016097,"2180/7840/55198/57561/1051/1376/7852/1734/85440/79071/2104/2171/2303/10912/2628/2697/3226/3397/3480/3600/3606/3566/3717/3934/55366/4012/23175/4237/4851/4857/4883/7376/5021/56034/10400/8864/5334/10891/133522/5618/5746/5925/6319/6850/7351/7422",46
"849","grey","GO:0120161","regulation of cold-induced thermogenesis","46/3352","143/17913",7.82044810395463e-05,0.00149095928642453,0.00109315625016097,"2180/7840/55198/57561/1051/1376/7852/1734/85440/79071/2104/2171/2303/10912/2628/2697/3226/3397/3480/3600/3606/3566/3717/3934/55366/4012/23175/4237/4851/4857/4883/7376/5021/56034/10400/8864/5334/10891/133522/5618/5746/5925/6319/6850/7351/7422",46
"858","grey","GO:0002237","response to molecule of bacterial origin","85/3352","309/17913",8.83506036500121e-05,0.0016339271229228,0.00119797882007491,"8754/133/55122/445/558/613/623/22900/841/100133941/1604/23097/1019/1051/9076/6376/1524/2920/3576/1594/11221/1906/2149/2263/27086/7855/2643/2697/2706/55970/2950/3066/3248/3383/3595/3606/3569/55765/3654/3656/3717/8564/3934/23641/3965/4057/4067/4129/4257/4258/4282/4792/64127/5142/57162/5336/10891/7001/5578/5732/9536/5737/5743/29108/8767/6197/57402/6279/23328/949/6401/259230/59307/140885/6590/7096/7097/8792/7292/85363/117854/706/7431/7474/7494",85
"863","grey","GO:0003014","renal system process","40/3352","120/17913",9.36629085437636e-05,0.00171129939151835,0.00125470738387573,"108/113/115/133/183/231/8644/360/596/613/652/685/1364/1535/1906/2013/2149/2150/2621/2697/2702/2771/3037/3778/10916/4162/4645/4883/5585/5567/5577/5800/50484/6446/9368/6781/23213/55959/7021/63929",40
"868","grey","GO:0002446","neutrophil mediated immunity","127/3352","499/17913",9.95641824158448e-05,0.00179244726055974,0.00131420417968869,"178/290/306/8907/353/411/427/23250/23200/10396/613/684/51806/55832/124583/847/1604/965/966/8621/634/4680/80184/1116/1118/23601/23406/8904/8895/84766/1471/1476/5476/1509/1522/2919/1535/8694/29952/1832/22875/2150/2171/2444/2495/25801/11010/2821/53831/2896/2950/23593/3310/3417/3482/3569/10788/3728/3920/3934/116844/4057/4125/25840/4257/4282/9761/4311/4318/9961/93100/4758/387921/10562/4973/11240/8566/5315/5317/5329/5337/4860/5547/10549/5580/5718/5795/5799/5806/29108/5834/5836/25797/5768/5873/11031/9545/5869/51209/391/8635/6282/6279/6280/6286/5265/12/1992/5269/140885/11001/6515/6518/57153/6590/2040/258010/6850/9145/10312/7097/11322/7130/58485/203068/10383/8673",127
"877","grey","GO:0198738","cell-cell signaling by wnt","127/3352","500/17913",0.000109279052899789,0.0019167545878623,0.00140534505323158,"192670/154810/51421/22881/147495/84100/245973/8313/25805/650/57805/8840/595/100133941/998/1000/1001/9620/1952/8418/1456/1501/1540/23002/23500/22943/27123/1749/1950/1956/1958/2099/55612/2254/2263/2348/2487/8321/2535/7976/7855/8323/8324/2625/2737/2239/51704/26585/57822/3087/3485/3487/3728/23189/9314/83999/9113/51176/55366/59352/4038/4040/9209/120892/10459/9863/4163/4192/57447/4772/27031/4929/5204/5216/23236/5336/5518/144165/5563/5699/5696/5718/5720/5800/51444/54894/4919/84870/6382/6422/6478/9368/6597/64750/6591/25928/6662/6788/23213/55959/83439/7074/7088/7089/7091/7097/100113407/65062/169200/23043/8658/80351/63923/23554/57216/11197/79971/7481/7472/7474/81029/51741/25937/10413/84327/80139/84133",127
"897","grey","GO:0003093","regulation of glomerular filtration","8/3352","11/17913",0.000143131868962842,0.00236842734113985,0.00173650694193534,"1535/2013/2149/2150/2621/2697/2702/5800",8
