"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1071","grey","GO:0062012","regulation of small molecule metabolic process","109/3352","439/17913",0.000782799453373451,0.00883383427253606,0.0064768778301565,"9619/133/136/8644/55198/538/134145/650/672/863/634/171425/1374/1594/54541/84649/1717/29103/8445/1950/1958/3692/60481/79071/2023/5167/957/2053/11160/2171/10447/2194/2203/2246/221937/3037/9759/3156/3157/3269/3422/3486/3487/3488/3638/3643/3667/8660/3815/3949/4047/4199/4200/90007/10499/4800/1728/7376/23279/9818/9688/4928/26471/4953/23178/5163/5165/54704/5208/5209/7262/5366/5447/5465/10891/10105/5500/79660/5563/195827/5699/5696/5718/5720/5743/8480/157506/9104/6095/80183/6309/6319/57001/81929/84275/23657/6591/10580/6713/6720/7033/57103/7108/7157/7175/57761/706/7291/26137",109
"1090","grey","GO:0120032","regulation of plasma membrane bounded cell projection assembly","48/3352","166/17913",0.000884698152814415,0.00953019170141549,0.00698744004513895,"2909/538/5205/26053/585/55704/998/23580/148170/153241/79598/23242/23603/1540/1785/26052/51626/54869/64787/51466/2150/6624/9759/3383/23189/3815/688/55329/4651/57489/5216/5217/5337/5420/55607/5580/64284/5909/5962/391/23433/23224/4070/202018/23329/255758/57451/7046",48
"1098","grey","GO:0055119","relaxation of cardiac muscle","9/3352","16/17913",0.000887973554847639,0.00953019170141549,0.00698744004513895,"481/817/2946/3759/5025/5142/8654/5350/5997",9
"1104","turquoise","GO:0042110","T cell activation","63/310","443/17913",1.74246231958322e-39,5.64383545313006e-36,4.14706032060807e-36,"199/54518/64919/6363/6347/6352/729230/1236/914/30835/939/29126/940/915/917/972/925/926/50856/11151/1794/81704/8320/2213/10875/2841/1880/84868/3109/3111/3113/3115/3620/3594/3575/3659/3702/3718/54900/3932/3936/9935/4773/197358/114548/5027/55824/5293/5294/5588/5734/5788/5880/54440/55423/387357/7133/10673/944/7409/7412/11326/64115",63
"1107","turquoise","GO:0070661","leukocyte proliferation","44/310","270/17913",4.06764328446015e-30,3.29377414959161e-27,2.42024775425379e-27,"199/6363/6352/729230/30835/29126/940/952/972/11151/1436/1794/81704/2213/115352/1880/84868/3109/3113/3115/3620/22806/3594/3575/3635/3659/4332/51237/4773/5027/5294/23228/5588/5788/5880/54440/7128/7133/10673/944/7305/7412/11326/64115",44
"1115","turquoise","GO:0002429","immune response-activating cell surface receptor signaling pathway","47/310","399/17913",9.86842257847403e-26,2.66365172763978e-23,1.95723714473068e-23,"719/728/1236/30835/919/952/915/917/50856/2207/2212/2213/2219/115352/2533/3055/3113/3115/3119/3122/3385/3635/3702/89857/54900/3932/3937/9404/4332/4773/55824/5079/5293/23228/5579/5583/5588/5698/5788/79037/23180/387357/9473/28755/28639/7409/7456",47
"1131","turquoise","GO:0001819","positive regulation of cytokine production","42/310","446/17913",2.54933750998767e-19,2.94903721244645e-17,2.16693688348952e-17,"199/9447/330/718/719/728/834/6363/729230/1236/929/914/29126/940/972/56253/1436/1536/2207/2219/115362/84868/3113/3115/3620/3428/3594/3659/3394/4050/23643/114548/5027/5588/5724/5734/5788/54440/51284/51311/340061/7305",42
"1143","turquoise","GO:0032103","positive regulation of response to external stimulus","33/310","315/17913",9.80226874602168e-17,7.93738711709106e-15,5.8323499038829e-15,"199/712/718/719/728/6363/6351/6352/1230/729230/1236/940/972/1240/1075/10563/2113/2207/115362/84868/3620/3684/3689/5641/9450/23643/5294/7941/5734/5880/56670/7052/51284",33
"1146","turquoise","GO:0006909","phagocytosis","32/310","308/17913",3.73891411366605e-16,2.8163587939917e-14,2.06944548616865e-14,"199/9938/718/6347/929/919/146722/917/56990/11151/1794/2207/2212/2213/2219/3055/3385/3560/3561/3394/3684/3689/4481/4688/10062/5027/5788/23208/7052/7305/7409/7456",32
"1149","turquoise","GO:2000106","regulation of leukocyte apoptotic process","18/310","82/17913",2.55169773461414e-15,1.79672803530765e-13,1.3202262192134e-13,"6363/6352/1234/1236/939/29126/917/972/81704/2207/155038/3059/3620/3575/3718/5027/5293/5588",18
