"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"93","grey","GO:0019867","outer membrane","65/3462","193/18678",3.45164435853182e-07,1.99907735764968e-05,1.67132253149962e-05,"2180/2181/2182/51703/55326/8165/56172/51309/9823/445/517/596/664/665/666/140707/841/1374/1528/80777/1594/1717/2043/51024/139341/54332/2697/3099/3710/8564/120892/4129/64757/54996/55669/4257/374986/22877/64112/51001/89795/4830/4925/5241/5245/5366/54884/6198/4891/9187/91137/23446/23111/132671/23224/163183/57103/79073/56993/9830/706/6843/7416/54832/8936",65
"96","grey","GO:0062023","collagen-containing extracellular matrix","114/3462","399/18678",5.22663148353285e-07,2.42167258737022e-05,2.02463198520009e-05,"2/8728/9510/170689/9508/56999/183/283/301/309/563/284018/811/8573/3491/1490/4856/1000/50937/1191/1690/1300/1301/1307/80781/81578/85301/1280/1282/1284/1287/131873/1296/1299/1464/1471/1476/1509/8722/1522/667/1893/1946/25975/2006/2161/2152/2199/10516/2201/2254/2263/2335/80144/9518/2817/2239/26585/3383/3655/3898/3909/3912/3913/3914/3918/3956/3959/3965/4017/4052/4054/4147/4192/1955/4237/4256/4318/439921/89797/4693/255743/59277/5315/8985/5764/7837/6281/6275/6277/6279/6280/157869/6383/5265/12/5104/1992/5269/5270/710/871/6422/6590/23213/7042/7045/7057/79875/7076/3371/7472/7474/81029",114
"123","grey","GO:0005604","basement membrane","31/3462","91/18678",0.000300960464016347,0.00498017910693717,0.00416366356233142,"9510/283/8573/80781/1280/1282/1284/1296/1471/667/1946/25975/2254/2335/80144/3655/3898/3909/3912/3913/3914/3918/4017/4147/1955/255743/59277/5764/7045/7076/3371",31
"128","grey","GO:0043025","neuronal cell body","113/3462","454/18678",0.000402889069649402,0.00595761496609222,0.00498084583306763,"2182/100/214/267/283/306/347/9181/445/23245/490/538/658/659/203228/790/55450/4856/4345/998/1020/10519/1152/22866/1266/26047/23242/1410/1471/1501/1515/6376/1524/1535/3337/92737/1917/114327/60481/2026/2043/2173/2288/2316/2317/7976/7855/51083/2806/9455/3249/3572/3643/3710/7881/3751/10008/3759/3775/3800/83999/9860/4038/120892/55110/4131/4133/4311/4651/4642/4644/374291/1728/10439/5025/5066/56288/10846/5152/57125/10891/84152/55607/5563/5577/5590/58155/5792/5796/5813/29108/64284/6001/79641/146760/22902/6285/5274/22941/6478/6509/6515/9627/6715/29966/7042/7074/55273/64699/63923/66008/7345/23001",113
"133","turquoise","GO:0009897","external side of plasma membrane","22/323","199/18678",5.29549356913329e-12,1.62571652572392e-09,1.26534425283501e-09,"1230/1234/929/9332/914/30835/940/969/972/925/4283/2213/2219/3560/3561/3575/3684/3689/5027/5788/51311/7412",22
"137","turquoise","GO:0030667","secretory granule membrane","21/323","293/18678",4.42338277284e-08,2.71595702252376e-06,2.11391134617828e-06,"976/719/728/929/952/963/1536/79930/2207/2212/2215/2357/3684/3689/3903/5724/5788/6402/340061/7133/7305",21
"150","turquoise","GO:0043235","receptor complex","17/323","292/18678",1.4217238116799e-05,0.000242482894547628,0.000188731757456923,"54518/929/919/915/917/972/925/926/1439/3594/3560/3684/3689/23643/10062/51284/7133",17
"157","turquoise","GO:0034358","plasma lipoprotein particle","6/323","37/18678",3.77685890327645e-05,0.000445959878194566,0.00034710403685982,"341/348/8542/4481/7941/5360",6
"158","turquoise","GO:1990777","lipoprotein particle","6/323","37/18678",3.77685890327645e-05,0.000445959878194566,0.00034710403685982,"341/348/8542/4481/7941/5360",6
"160","turquoise","GO:0061702","inflammasome complex","4/323","13/18678",5.54842388108836e-05,0.000608345046962188,0.000473493316168066,"9447/834/837/114548",4
"181","turquoise","GO:0002102","podosome","4/323","29/18678",0.00148183639672981,0.00928415864889903,0.0072261409679413,"83706/3936/9404/7412",4
"183","yellow","GO:0062023","collagen-containing extracellular matrix","49/124","399/18678",1.72734170818553e-49,2.9364809039154e-47,2.3091831256796e-47,"9509/165/23452/54829/633/1303/1278/1289/1290/50509/1291/1292/1293/1295/1311/115908/1634/10085/30008/11117/2192/2200/10082/83872/5654/4016/131578/4053/4060/8076/4313/25878/4811/22795/4958/5118/127435/10631/5919/5176/6423/6678/10418/27286/7041/7043/7058/7078/1462",49
"184","yellow","GO:0031012","extracellular matrix","51/124","468/18678",5.9992194034013e-49,5.09933649289111e-47,4.01000454858929e-47,"9509/165/23452/54829/633/1303/1278/1289/1290/50509/1291/1292/1293/1295/1311/83716/115908/1634/10085/30008/11117/2192/2200/10082/83872/5654/4015/4016/131578/4053/4060/8076/4313/25878/4811/22795/4958/5118/127435/10631/5919/5176/6423/6678/10418/27286/7041/7043/7058/7078/1462",51
"185","yellow","GO:0005581","collagen trimer","16/124","86/18678",3.43820958293877e-19,1.94831876366531e-17,1.53211444573061e-17,"114899/114904/1303/1278/1289/1290/50509/1291/1292/1293/1295/115908/1634/11117/4015/4060",16
"188","yellow","GO:0005788","endoplasmic reticulum lumen","17/124","306/18678",2.01635742065946e-11,5.71301269186847e-10,4.49258583199564e-10,"1303/1278/1289/1290/50509/1291/1292/1293/1295/2200/11167/493869/54587/11098/57333/10418/1462",17
"195","yellow","GO:0031091","platelet alpha granule","5/124","91/18678",0.000350590820204195,0.00458464918728563,0.00360526592436703,"5099/6678/7043/7058/7424",5
"196","yellow","GO:0031258","lamellipodium membrane","3/124","22/18678",0.000401045403228627,0.00486983703920475,0.00382953129398764,"84168/2191/10630",3
"197","yellow","GO:0005912","adherens junction","11/124","496/18678",0.000471433520625113,0.00534291323375128,0.00420154786802732,"2191/22801/57608/143903/9902/50507/5159/5328/7041/7070/79652",11
